FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,sexe
TJ Brown,5' 9",145 lbs.,72",Switch,1990-05-22,M
Humberto Brown Morrison,5' 10",145 lbs.,--,,1984-11-03,M
Travis Browne,6' 6",255 lbs.,79",Orthodox,1982-07-17,M
Junie Browning,5' 9",155 lbs.,--,Orthodox,1984-05-12,M
Jules Bruchez,6' 0",205 lbs.,--,Southpaw,1977-08-16,M
Justin Bruckmann,5' 9",170 lbs.,--,Orthodox,,M
Cody Brundage,6' 0",185 lbs.,72",Orthodox,1994-05-16,M
Steve Bruno,5' 10",170 lbs.,--,Orthodox,1981-11-03,M
Fernando Bruno,5' 6",145 lbs.,--,,1982-02-24,M
Derek Brunson,6' 1",185 lbs.,77",Southpaw,1984-01-04,M
Josh Bryant,5' 10",185 lbs.,--,Orthodox,1980-04-23,M
Dennis Bryant,6' 0",205 lbs.,--,Orthodox,1985-10-18,M
Lukasz Brzeski,6' 4",236 lbs.,78",Orthodox,1992-05-17,M
Justin Buchholz,6' 0",155 lbs.,73",Orthodox,1983-08-22,M
Zak Bucia,5' 10",170 lbs.,--,,,M
Courtney Buck,5' 10",135 lbs.,--,Orthodox,1982-03-19,M
Joaquin Buckley,5' 10",185 lbs.,76",Southpaw,1994-04-27,M
Martin Buday,6' 4",265 lbs.,77",Orthodox,1991-11-11,M
Julia Budd,5' 7",145 lbs.,67",,1983-07-04,F
Mike Budnik,5' 9",145 lbs.,68",Orthodox,1974-08-08,M
Francisco Bueno,5' 9",225 lbs.,--,Orthodox,,M
Mayra Bueno Silva,5' 6",125 lbs.,66",Orthodox,1991-08-22,F
Paul Buentello,6' 2",245 lbs.,77",Orthodox,1974-01-16,M
Modestas Bukauskas,6' 3",205 lbs.,78",Switch,1994-02-10,M
Lee Kwan Bum,6' 2",286 lbs.,--,Orthodox,,M
Josh Bumgarner,6' 1",170 lbs.,--,,,M
Shawn Bunch,5' 5",135 lbs.,--,,1983-03-19,M
Wuliji Buren,5' 9",135 lbs.,69",Orthodox,1989-03-01,M
Shane Burgos,5' 11",145 lbs.,75",Orthodox,1991-03-19,M
Joshua Burkman,5' 10",170 lbs.,72",Orthodox,1980-04-10,M
Justin Burlinson,6' 1",170 lbs.,74",Switch,1997-05-19,M
Mads Burnell,5' 8",145 lbs.,69",Orthodox,1994-03-06,M
Mikey Burnett,5' 6",170 lbs.,--,Orthodox,1974-04-12,M
Kevin Burns,5' 10",170 lbs.,74",Orthodox,1980-03-03,M
Gilbert Burns,5' 10",170 lbs.,71",Orthodox,1986-07-20,M
Josh Burns,6' 1",244 lbs.,--,,1978-05-15,M
Herbert Burns,5' 9",145 lbs.,73",Orthodox,1988-02-02,M
Derrick Burnsed,--,155 lbs.,--,,,M
Nah-Shon Burrell,5' 11",170 lbs.,--,Orthodox,1990-02-05,M
Martin Buschkamp,5' 9",145 lbs.,--,Orthodox,1991-01-06,M
George Bush,6' 1",205 lbs.,--,,,M
Bubba Bush,6' 0",185 lbs.,--,Orthodox,1985-07-24,M
Dakota Bush,5' 10",155 lbs.,73",Orthodox,1994-06-09,M
Murilo Bustamante,6' 2",183 lbs.,--,Orthodox,1966-07-30,M
Nick Bustamante,5' 9",170 lbs.,--,,,M
Eduardo Bustillos,5' 8",135 lbs.,--,,1987-06-02,M
Jason Butcher,6' 3",185 lbs.,--,,1984-10-23,M
Todd Butler,6' 1",200 lbs.,--,Southpaw,,M
Goldman Butler,--,--,--,,,M
Ian Butler,5' 8",155 lbs.,--,,,M
Raphael Butler,6' 3",261 lbs.,--,,1984-01-04,M
JP Buys,5' 5",135 lbs.,67",Orthodox,1996-04-30,M
Dennis Buzukja,5' 9",145 lbs.,71",Switch,1997-10-01,M
Charles Byrd,5' 10",185 lbs.,73",Orthodox,1983-10-11,M
Steve Byrnes,6' 0",170 lbs.,--,Orthodox,,M
Michael Byrnes,5' 11",155 lbs.,--,,1990-07-17,M
Yan Cabral,5' 11",155 lbs.,73",Orthodox,1983-05-13,M
Alvin Cacdac,5' 6",125 lbs.,--,Orthodox,,M
Alex Caceres,5' 10",145 lbs.,73",Southpaw,1988-06-20,M
Vince Cachero,5' 6",145 lbs.,68",Orthodox,1989-11-07,M
Priscila Cachoeira,5' 7",125 lbs.,65",Orthodox,1988-08-19,F
Travis Calanoc,5' 8",145 lbs.,--,Orthodox,,M
Ricky Calatayud,5' 9",125 lbs.,--,,1982-10-10,M
Darrion Caldwell,5' 10",135 lbs.,--,,1987-12-19,M
Taylor Callens,5' 10",155 lbs.,--,,1991-05-21,M
Cynthia Calvillo,5' 4",125 lbs.,64",Orthodox,1987-07-13,F
Joe Camacho,5' 9",155 lbs.,--,Orthodox,1972-03-10,M
Frank Camacho,5' 10",170 lbs.,73",Orthodox,1989-05-18,M
Fabricio Camoes,5' 10",155 lbs.,71",Orthodox,1978-12-23,M
Chris Camozzi,6' 2",185 lbs.,75",Orthodox,1986-11-20,M
Brian Camozzi,6' 2",170 lbs.,78",Orthodox,1991-06-24,M
Ricky Camp,5' 7",135 lbs.,--,,,M
Mike Campbell,5' 9",155 lbs.,--,Southpaw,,M
Thomas Campbell,--,--,--,,,M
Shane Campbell,6' 0",155 lbs.,71",Orthodox,1987-01-21,M
John Campetella,5' 9",235 lbs.,--,Orthodox,,M
Wagner Campos,5' 6",145 lbs.,--,Southpaw,1981-07-31,M
Derek Campos,5' 9",155 lbs.,--,,1988-04-01,M
Will Campuzano,5' 9",125 lbs.,70",Orthodox,1986-05-27,M
Aleksa Camur,6' 1",205 lbs.,74",Orthodox,1995-09-25,M
Chico Camus,5' 6",125 lbs.,66",Orthodox,1985-01-26,M
Asbel Cancio,5' 10",225 lbs.,--,,,M
Carlos Candelario,5' 8",125 lbs.,68",Southpaw,1991-06-04,M
Ronaldo Candido,5' 6",125 lbs.,--,Southpaw,1989-04-24,M
Luiz Cane,6' 2",185 lbs.,77",Southpaw,1981-04-24,M
Guido Cannetti,5' 6",135 lbs.,68",Southpaw,1979-12-19,M
Jared Cannonier,5' 11",185 lbs.,77",Switch,1984-03-16,M
Jose Canseco,6' 4",240 lbs.,--,Orthodox,1964-07-02,M
Cody Canterbury,5' 8",155 lbs.,--,,,M
Bo Cantrell,6' 2",235 lbs.,--,Orthodox,1969-02-08,M
Steve Cantwell,6' 2",185 lbs.,75",Orthodox,1986-12-08,M
Paul Capaldo,5' 7",135 lbs.,--,,1996-12-27,M
Phil Caracappa,5' 8",135 lbs.,70",Orthodox,1992-06-05,M
Frank Caracci,--,--,--,,,M
Gina Carano,5' 8",145 lbs.,--,Orthodox,1982-04-16,F
Dos Caras Jr.,6' 4",225 lbs.,--,Orthodox,1977-05-25,M
Bryan Caraway,5' 8",135 lbs.,68",Orthodox,1984-08-04,M
Remo Cardarelli,--,135 lbs.,--,,,M
Phil Cardella,5' 11",155 lbs.,--,,1976-07-09,M
Edgar Cardenas,--,145 lbs.,--,,,M
Chris Cariaso,5' 3",125 lbs.,64",Southpaw,1981-05-27,M
Ronald Carillo,--,125 lbs.,--,,,M
Rafael Carino,6' 8",245 lbs.,--,Orthodox,,M
Don Carlo-Clauss,--,170 lbs.,--,,,M
Antonio Carlos Junior,6' 2",185 lbs.,79",Orthodox,1990-03-16,M
Spike Carlyle,5' 8",145 lbs.,71",Switch,1993-05-06,M
Francis Carmont,6' 3",205 lbs.,78",Orthodox,1981-10-11,M
Liz Carmouche,5' 6",125 lbs.,66",Orthodox,1984-02-19,F
Roan Carneiro,5' 11",170 lbs.,76",Orthodox,1978-06-02,M
Ariane Carnelossi,5' 2",115 lbs.,61",Orthodox,1992-11-17,F
Luana Carolina,5' 6",125 lbs.,69",Orthodox,1993-06-11,F
Tim Caron,6' 1",185 lbs.,--,Orthodox,1987-07-24,M
Gabriel Carrasco,5' 6",135 lbs.,--,,,M
Cody Carrillo,5' 10",155 lbs.,--,,,M
Cain Carrizosa,5' 8",155 lbs.,--,Orthodox,1986-07-22,M
Roger Carroll,5' 10",170 lbs.,--,,,M
Jonny Carson,5' 10",155 lbs.,--,,,M
Scott Carson,6' 2",215 lbs.,--,,,M
Shonie Carter,5' 10",170 lbs.,--,Southpaw,1972-05-03,M
Bruno Carvalho,5' 8",154 lbs.,--,,1982-06-07,M
Antonio Carvalho,5' 9",145 lbs.,70",Orthodox,1979-05-30,M
Rafael Carvalho,6' 3",185 lbs.,--,,1986-07-27,M
Shane Carwin,6' 2",265 lbs.,80",Orthodox,1975-01-04,M
Johnny Case,5' 10",155 lbs.,72",Orthodox,1989-06-28,M
Kevin Casey,5' 11",185 lbs.,77",Southpaw,1981-06-15,M
Cortney Casey,5' 7",125 lbs.,67",Orthodox,1987-05-05,F
Brandon Cash,6' 5",255 lbs.,--,Orthodox,,M
Bendy Casimir,5' 5",145 lbs.,--,Southpaw,1980-06-10,M
Dwayne Cason,5' 10",212 lbs.,--,Orthodox,,M
Joe Cason,6' 3",205 lbs.,--,,1988-01-19,M
John Castaneda,5' 6",135 lbs.,71",Switch,1991-12-18,M
Eric Castile,5' 8",145 lbs.,--,,,M
Gil Castillo,5' 9",170 lbs.,--,Southpaw,1965-10-21,M
Danny Castillo,5' 9",155 lbs.,71",Orthodox,1979-08-25,M
Raul Castillo,5' 11",185 lbs.,--,Orthodox,,M
Jenna Castillo,5' 2",125 lbs.,--,,1982-05-05,F
Tim Catalfo,5' 11",235 lbs.,--,Orthodox,,M
Nick Catone,6' 0",185 lbs.,72",Southpaw,1981-09-01,M
Luke Caudillo,5' 7",155 lbs.,--,Orthodox,1980-11-30,M
Gesias Cavalcante,5' 8",155 lbs.,71",Orthodox,1983-07-06,M
Rafael Cavalcante,6' 1",205 lbs.,74",Orthodox,1980-04-14,M
Magnus Cedenblad,6' 5",185 lbs.,79",Orthodox,1982-04-10,M
Yosdenis Cedeno,5' 8",155 lbs.,69",Orthodox,1985-02-12,M
Henry Cejudo,5' 4",135 lbs.,64",Orthodox,1987-02-09,M
Adam Cella,6' 2",170 lbs.,--,,1985-06-26,M
Donald Cerrone,6' 1",170 lbs.,73",Orthodox,1983-03-29,M
Jared Chaffee,5' 10",155 lbs.,--,,1984-12-15,M
Luan Chagas,6' 0",170 lbs.,75",Orthodox,1993-06-17,M
Ansar Chalangov,5' 9",170 lbs.,--,Orthodox,1979-10-30,M
Alex Chambers,5' 3",115 lbs.,63",Southpaw,1978-10-25,F
Michael Chandler,5' 8",155 lbs.,71",Orthodox,1986-04-24,M
Donnie Chappell,5' 11",178 lbs.,--,Southpaw,,M
Joe Charles,6' 1",260 lbs.,--,Southpaw,,M
Dan Charles,6' 2",228 lbs.,--,,1985-09-24,M
Ernest Chavez,5' 8",145 lbs.,70",Orthodox,1983-06-27,M
Emilio Chavez,5' 9",145 lbs.,--,,,M
Danny Chavez,5' 8",145 lbs.,67",Orthodox,1987-03-14,M
Gabriel Checco,6' 1",185 lbs.,--,Switch,1986-04-03,M
Albert Cheng,5' 11",170 lbs.,--,Orthodox,1985-02-07,M
Fabio Cherant,6' 1",205 lbs.,74",Southpaw,1994-11-25,M
Ion Cherdivara,--,205 lbs.,--,,,M
Mark Cherico,5' 7",145 lbs.,69",Orthodox,1986-05-12,M
Macy Chiasson,5' 11",145 lbs.,72",Orthodox,1991-07-27,F
Michael Chiesa,6' 1",170 lbs.,75",Southpaw,1987-12-07,M
Giga Chikadze,6' 0",145 lbs.,74",Orthodox,1988-08-25,M
Khamzat Chimaev,6' 2",170 lbs.,75",Orthodox,1994-05-01,M
Sako Chivitchian,5' 11",155 lbs.,--,,1984-03-11,M
Mu Bae Choi,6' 2",230 lbs.,--,Orthodox,1970-06-27,M
Hong Man Choi,7' 2",330 lbs.,--,Orthodox,1980-10-30,M
Dooho Choi,5' 10",145 lbs.,70",Orthodox,1991-04-10,M
SeungWoo Choi,6' 0",145 lbs.,74",Orthodox,1992-11-03,M
John Cholish,5' 11",155 lbs.,74",Orthodox,1983-12-17,M
Ryo Chonan,5' 9",170 lbs.,70",Orthodox,1976-10-08,M
Katlyn Chookagian,5' 9",125 lbs.,68",Orthodox,1988-12-28,F
Will Chope,6' 4",145 lbs.,--,Switch,1990-09-08,M
Joachim Christensen,6' 3",205 lbs.,76",Orthodox,1978-11-07,M
Dan Christison,6' 8",265 lbs.,--,Orthodox,1972-04-26,M
Anthony Christodoulou,5' 9",155 lbs.,--,Orthodox,1987-07-30,M
Murad Chunkaiev,5' 11",185 lbs.,--,Orthodox,,M
Cameron Church,5' 11",155 lbs.,72",Orthodox,1990-09-27,M
Steven Ciaccio,6' 0",170 lbs.,--,,,M
Mike Ciesnolevicz,6' 0",235 lbs.,--,Orthodox,1979-10-28,M
Hannah Cifers,5' 1",115 lbs.,62",Orthodox,1992-06-26,F
Branko Cikatic,6' 1",215 lbs.,--,Orthodox,1954-10-03,M
Nikolajus Cilkinas,--,--,--,Orthodox,,M
Misha Cirkunov,6' 3",185 lbs.,77",Orthodox,1987-02-27,M
Johnny Cisneros,5' 11",170 lbs.,--,,1980-02-05,M
Laverne Clark,5' 11",170 lbs.,--,Orthodox,1973-12-02,M
Logan Clark,6' 2",185 lbs.,--,Orthodox,1985-02-16,M
Mychal Clark,6' 3",224 lbs.,--,Orthodox,,M
Dominic Clark,5' 10",155 lbs.,--,,1985-08-01,M
Heather Clark,5' 6",115 lbs.,64",Orthodox,1980-09-19,F
Devin Clark,6' 0",205 lbs.,75",Orthodox,1990-04-12,M
Jessica-Rose Clark,5' 5",135 lbs.,64",Orthodox,1987-11-28,F
John Clarke,--,170 lbs.,--,,1977-08-15,M
Mitch Clarke,5' 10",155 lbs.,73",Orthodox,1985-11-24,M
Rich Clementi,5' 9",155 lbs.,72",Southpaw,1976-03-31,M
Chris Clements,5' 10",170 lbs.,70",Orthodox,1976-02-09,M
RJ Clifford,--,160 lbs.,--,,,M
Josh Clopton,5' 6",145 lbs.,--,Orthodox,1981-07-11,M
Brian Cobb,5' 11",155 lbs.,--,Orthodox,,M
Darryl Cobb,5' 9",185 lbs.,--,,1980-08-04,M
Dave Cochran,5' 6",155 lbs.,--,,1973-05-10,M
Dakota Cochrane,5' 8",155 lbs.,--,,1986-05-01,M
Marloes Coenen,5' 9",145 lbs.,67",,1981-03-31,F
Marc Cofer,--,185 lbs.,--,,1972-03-03,M
John Cofer,5' 9",155 lbs.,--,Southpaw,1984-04-29,M
Chris Coggins,--,--,--,,,M
Felipe Colares,5' 8",135 lbs.,69",Orthodox,1994-03-31,M
Wayne Cole,6' 1",205 lbs.,--,Orthodox,,M
Devin Cole,6' 4",240 lbs.,--,Orthodox,1976-10-01,M
Coltin Cole,--,185 lbs.,--,,1989-04-24,M
Ivan Cole,5' 9",135 lbs.,--,,1990-11-30,M
Mark Coleman,6' 1",205 lbs.,75",Orthodox,1964-12-20,M
Cortez Coleman,6' 1",185 lbs.,--,,1982-01-28,M
Clay Collard,5' 11",145 lbs.,73",Orthodox,1993-03-10,M
Jamie Colleen,5' 3",115 lbs.,65",Orthodox,1985-11-02,F
Jake Collier,6' 3",230 lbs.,78",Orthodox,1988-10-25,M
Christian Colombo,6' 5",265 lbs.,--,Orthodox,1980-07-01,M
Wes Combs,6' 2",205 lbs.,--,Orthodox,1973-06-18,M
Carlos Condit,6' 2",170 lbs.,75",Orthodox,1984-04-26,M
Chris Condo,6' 0",335 lbs.,--,Orthodox,,M
Montserrat Conejo,5' 0",115 lbs.,61",Southpaw,1993-02-03,F
Tristan Connelly,5' 10",170 lbs.,68",Orthodox,1985-12-12,M
Marcos Conrado Jr.,6' 2",220 lbs.,--,Orthodox,1982-03-14,M
Jeremiah Constant,6' 1",240 lbs.,--,Orthodox,1974-07-19,M
Jonathan Contrestano,--,155 lbs.,--,,,M
Bob Cook,5' 9",170 lbs.,--,Orthodox,,M
Mike Cook,6' 1",205 lbs.,--,Orthodox,,M
Chad Cook,6' 2",205 lbs.,--,,1979-11-07,M
TJ Cook,--,205 lbs.,--,,1982-09-08,M
Dewey Cooper,--,205 lbs.,--,,,M
Brett Cooper,6' 0",170 lbs.,--,Orthodox,1987-07-02,M
Bill Cooper,--,155 lbs.,--,,1984-05-05,M
Bobby Cooper,6' 1",155 lbs.,--,,,M
Amanda Cooper,5' 3",115 lbs.,64",Switch,1991-10-22,F
Kit Cope,6' 0",170 lbs.,--,Orthodox,1977-03-17,M
Chris Cope,6' 0",170 lbs.,72",Orthodox,1983-03-05,M
Josh Copeland,6' 1",265 lbs.,--,Orthodox,1982-10-20,M
Michael Cora,6' 1",170 lbs.,77",Southpaw,1989-08-24,M
Akira Corassani,5' 8",145 lbs.,68",Orthodox,1982-08-27,M
Muhsin Corbbrey,5' 10",155 lbs.,--,Orthodox,1978-05-18,M
Daniel Cormier,5' 11",235 lbs.,72",Orthodox,1979-03-20,M
Clint Coronel,--,155 lbs.,--,,,M
Henry Corrales,5' 9",145 lbs.,--,,,M
Bethe Correia,5' 5",135 lbs.,64",Orthodox,1983-06-22,F
Wesley Correira,6' 3",260 lbs.,--,Orthodox,1978-11-11,M
Tracy Cortez,5' 5",135 lbs.,65",Orthodox,1993-12-10,F
Reyes Cortez,5' 7",135 lbs.,68",Orthodox,1992-07-31,M
Chad Corvin,6' 5",255 lbs.,--,,,M
Louis Cosce,5' 9",170 lbs.,71",Orthodox,1995-08-27,M
Orion Cosce,5' 11",170 lbs.,71",Switch,1994-07-15,M
Miguel Cosio,6' 4",205 lbs.,--,,,M
Jadson Costa,5' 7",155 lbs.,--,Orthodox,,M
Guilherme Costa,--,155 lbs.,--,,,M
Paulo Costa,6' 1",205 lbs.,72",Orthodox,1991-04-21,M
Randy Costa,5' 9",135 lbs.,73",Switch,1994-07-06,M
Oscar Cota,6' 0",230 lbs.,72",Orthodox,1984-10-15,M
Patrick Cote,5' 11",170 lbs.,75",Orthodox,1980-02-29,M
JC Cottrell,5' 9",155 lbs.,--,Orthodox,1989-11-04,M
JR Coughran,5' 6",145 lbs.,--,Orthodox,1994-05-17,M
Rashad Coulter,5' 11",205 lbs.,76",Orthodox,1981-11-27,M
Dave Courchaine,5' 8",170 lbs.,--,,,M
Randy Couture,6' 1",205 lbs.,75",Orthodox,1963-06-22,M
Kim Couture,5' 8",135 lbs.,--,Orthodox,1975-12-18,F
Ryan Couture,5' 10",155 lbs.,73",Orthodox,1982-08-27,M
Nikk Covert,5' 8",185 lbs.,--,,1969-08-04,M
Colby Covington,5' 11",170 lbs.,72",Orthodox,1988-02-22,M
Jeff Cox,5' 10",155 lbs.,--,Orthodox,1968-08-02,M
Nathan Coy,5' 10",170 lbs.,69",Southpaw,1978-07-24,M
Andrew Craig,6' 1",170 lbs.,76",Orthodox,1986-01-15,M
Paul Craig,6' 3",205 lbs.,76",Orthodox,1987-11-27,M
Dan Cramer,6' 2",170 lbs.,--,Orthodox,1985-10-31,M
Alberto Crane,5' 5",155 lbs.,--,Orthodox,1976-07-14,M
Tim Credeur,6' 3",185 lbs.,75",Orthodox,1977-07-09,M
Paul Creighton,5' 6",155 lbs.,--,Southpaw,1970-06-04,M
Alexander Crispim,--,145 lbs.,--,,,M
Alex Crispin,--,155 lbs.,--,,,M
Kevin Croom,5' 11",155 lbs.,73",Orthodox,1987-07-15,M
Ken Cross,6' 0",155 lbs.,72",Southpaw,1994-10-04,M
Jeff Crotty,--,155 lbs.,--,,,M
Allen Crowder,6' 3",245 lbs.,76",Orthodox,1989-11-08,M
Daron Cruickshank,5' 8",155 lbs.,72",Switch,1985-06-11,M
Richard Crunkilton,5' 7",155 lbs.,--,Orthodox,1979-11-25,M
Jimmy Crute,6' 2",205 lbs.,74",Orthodox,1996-03-04,M
Marcio Cruz,6' 4",232 lbs.,--,Orthodox,1978-04-24,M
Dominick Cruz,5' 8",135 lbs.,68",Orthodox,1985-03-09,M
Aalon Cruz,6' 0",145 lbs.,78",Switch,1989-09-20,M
Jay Cucciniello,5' 7",155 lbs.,--,Orthodox,1986-07-23,M
Josh Culibao,5' 10",145 lbs.,73",Orthodox,1994-05-24,M
Chris Culley,--,145 lbs.,--,,1986-03-25,M
Abel Cullum,5' 7",139 lbs.,--,Orthodox,1987-04-21,M
Zak Cummings,6' 0",185 lbs.,75",Southpaw,1984-08-02,M
Everett Cummings,--,205 lbs.,--,,,M
Patrick Cummins,6' 2",205 lbs.,76",Orthodox,1980-11-16,M
Luke Cummo,6' 0",170 lbs.,74",Orthodox,1980-04-27,M
Hugo Cunha,6' 4",250 lbs.,--,,1993-02-04,M
Alton Cunningham,6' 2",205 lbs.,77",Orthodox,1993-06-24,M
Santo Curatolo,5' 3",125 lbs.,62",Southpaw,1995-01-18,M
Larry Cureton,6' 2",240 lbs.,--,Orthodox,,M
Jeff Curran,5' 6",135 lbs.,69",Orthodox,1977-09-02,M
Kailin Curran,5' 4",115 lbs.,65",Orthodox,1991-04-11,F
Pat Curran,5' 9",145 lbs.,--,,1987-08-31,M
Chris Curtis,5' 10",185 lbs.,75",Orthodox,1987-07-15,M
Ion Cutelaba,6' 1",205 lbs.,75",Southpaw,1993-12-14,M
Gleidson Cutis,5' 9",155 lbs.,--,Orthodox,1989-02-07,M
Sarah D'alelio,5' 7",145 lbs.,--,,1980-12-13,F
Marcos da Matta,5' 4",145 lbs.,--,,1973-03-18,M
Henrique da Silva,6' 3",205 lbs.,76",Orthodox,1989-09-01,M
Alex Da Silva,5' 8",155 lbs.,73",Orthodox,1996-02-04,M
Daniel Da Silva,5' 6",125 lbs.,70",Switch,1996-06-05,M
Henrique Da Silva Lopes,6' 3",240 lbs.,--,,1985-03-08,M
Nicolas Dalby,5' 11",170 lbs.,74",Orthodox,1984-11-16,M
Paul Daley,5' 9",170 lbs.,76",Orthodox,1983-02-21,M
Dave Dalgliesh,6' 2",205 lbs.,--,Orthodox,1978-04-05,M
Richard Dalton,6' 1",205 lbs.,--,Orthodox,,M
Aisling Daly,5' 2",115 lbs.,64",Orthodox,1987-12-24,F
Marko Damiani,6' 0",170 lbs.,--,,,M
Leonardo Damiani,5' 10",170 lbs.,69",Orthodox,1990-08-30,M
Rodrigo Damm,5' 7",155 lbs.,71",Orthodox,1980-02-03,M
Carina Damm,5' 4",135 lbs.,--,,,F
Danaa Batgerel,5' 7",135 lbs.,70",Orthodox,1989-07-04,M
Cindy Dandois,5' 7",135 lbs.,--,Orthodox,1984-10-26,F
Jarjis Danho,6' 3",265 lbs.,74",Orthodox,1983-10-15,M
Raymond Daniels,6' 2",185 lbs.,--,Southpaw,,M
Marques Daniels,--,155 lbs.,--,,,M
Alexandre Dantas,6' 2",238 lbs.,--,Orthodox,1979-03-01,M
Eduardo Dantas,5' 10",135 lbs.,--,,1989-02-03,M
Mac Danzig,5' 8",155 lbs.,70",Orthodox,1980-01-02,M
Karen Darabedyan,5' 7",155 lbs.,68",Orthodox,1986-12-18,M
Beneil Dariush,5' 10",155 lbs.,72",Southpaw,1989-05-06,M
Sean Daugherty,6' 0",175 lbs.,--,,1975-12-04,M
Kyle Daukaus,6' 3",185 lbs.,76",Southpaw,1993-02-27,M
Chris Daukaus,6' 3",250 lbs.,76",Orthodox,1989-09-25,M
Brian Davidson,5' 6",145 lbs.,--,,,M
Rick Davis,5' 9",155 lbs.,--,Orthodox,,M
Marcus Davis,5' 10",170 lbs.,70",Southpaw,1973-08-24,M
LC Davis,5' 8",135 lbs.,69",Southpaw,1980-10-28,M
Phil Davis,6' 2",205 lbs.,79",Orthodox,1984-09-25,M
Lemont Davis,5' 8",170 lbs.,--,Orthodox,,M
Justin Davis,5' 11",205 lbs.,--,,1983-04-01,M
Alexis Davis,5' 6",135 lbs.,68",Orthodox,1984-10-04,F
Danny Davis,6' 2",170 lbs.,--,,1982-07-28,M
Brandon Davis,5' 10",135 lbs.,72",Orthodox,1990-05-08,M
Mike Davis,6' 0",155 lbs.,72",Orthodox,1992-10-07,M
Hakeem Dawodu,5' 8",145 lbs.,73",Orthodox,1991-07-02,M
Grant Dawson,5' 10",155 lbs.,72",Switch,1994-02-20,M
Jason Day,6' 0",185 lbs.,72",Orthodox,1981-05-19,M
Martin Day,5' 10",145 lbs.,73",Orthodox,1988-11-10,M
Angel De Anda,5' 9",225 lbs.,--,Orthodox,1985-05-28,M
Yorgan De Castro,6' 0",250 lbs.,74",Orthodox,1986-12-19,M
Geraldo de Freitas,5' 7",135 lbs.,72",Orthodox,1991-09-30,M
Philip De Fries,6' 5",250 lbs.,79",Orthodox,1986-04-21,M
Chris de la Rocha,6' 3",250 lbs.,80",Orthodox,1979-05-15,M
Montana De La Rosa,5' 7",125 lbs.,68",Orthodox,1995-02-14,F
Mark De La Rosa,5' 6",135 lbs.,65",Orthodox,1994-08-31,M
Mike de la Torre,5' 11",145 lbs.,71",Orthodox,1986-09-22,M
Rodrigo de Lima,5' 7",155 lbs.,--,Orthodox,1991-03-12,M
Edilberto de Oliveira,6' 0",170 lbs.,--,Orthodox,1982-11-22,M
Johil de Oliveira,5' 6",170 lbs.,--,Orthodox,,M
Jorge de Oliveira,5' 8",155 lbs.,--,Orthodox,1980-01-22,M
Isabela de Padua,5' 3",125 lbs.,64",Orthodox,1991-09-04,F
Gloria de Paula,5' 5",115 lbs.,67",Orthodox,1995-06-10,F
Germaine de Randamie,5' 9",135 lbs.,71",Orthodox,1984-04-24,F
Crezio de Souza,--,170 lbs.,--,Orthodox,,M
Tom DeBlass,6' 0",185 lbs.,--,Orthodox,1982-05-14,M
Issac DeJesus,--,145 lbs.,--,,,M
Rafael Del Real,5' 11",225 lbs.,--,,,M
Shane del Rosario,6' 4",250 lbs.,--,Southpaw,1983-09-23,M
Humberto DeLeon,--,135 lbs.,--,,1989-11-12,M
Rolando Delgado,6' 3",155 lbs.,77",Orthodox,1981-11-22,M
Israel Delgado,5' 10",155 lbs.,--,,,M
Ante Delija,6' 4",245 lbs.,--,Orthodox,1990-08-07,M
Jack Della,5' 11",170 lbs.,--,,,M
Jack Della Maddalena,5' 11",170 lbs.,73",Switch,1996-09-10,M
Roland Delorme,5' 9",135 lbs.,71",Orthodox,1983-12-18,M
Jon Delos Reyes,5' 6",125 lbs.,67",Orthodox,1987-08-19,M
Jason DeLucia,5' 11",190 lbs.,--,Southpaw,1969-07-24,M
Justin DeMoney,--,170 lbs.,--,,1985-07-01,M
Vanessa Demopoulos,5' 2",125 lbs.,59",Orthodox,1988-09-22,F
Chris Dempsey,5' 10",185 lbs.,72",Orthodox,1987-09-08,M
Nick Denis,5' 7",135 lbs.,--,Orthodox,1983-10-11,M
Thomas Denny,5' 10",170 lbs.,--,Orthodox,1971-04-19,M
Robert Densley,5' 9",155 lbs.,--,,,M
Jason Dent,5' 10",155 lbs.,71",Orthodox,1980-06-12,M
Mackenzie Dern,5' 4",115 lbs.,63",Orthodox,1993-03-24,F
Booker DeRousse,6' 2",205 lbs.,--,,1981-03-23,M
Tony DeSouza,6' 0",170 lbs.,70",Southpaw,1974-07-26,M
Cory Devela,5' 0",185 lbs.,--,Orthodox,,M
John Devine,--,--,--,,,M
Edwin DeWees,6' 1",185 lbs.,--,Orthodox,1982-08-07,M
Alessio Di Chirico,6' 0",185 lbs.,74",Orthodox,1989-12-12,M
Micol Di Segni,5' 3",115 lbs.,60",Orthodox,1987-12-29,F
Cyrille Diabate,6' 6",205 lbs.,81",Southpaw,1973-10-06,M
Thomas Diagne,6' 1",154 lbs.,--,,1983-09-03,M
Marc Diakiese,5' 10",155 lbs.,73",Orthodox,1993-03-16,M
Tyler Diamond,5' 7",145 lbs.,69",Orthodox,1991-03-18,M
Blood Diamond,5' 11",170 lbs.,73",Switch,1988-07-10,M
Eldo Xavier Dias,5' 11",180 lbs.,--,,1964-07-16,M
Rafael Dias,5' 9",145 lbs.,--,Orthodox,1979-10-20,M
Hacran Dias,5' 8",155 lbs.,69",Orthodox,1984-06-16,M
